OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
079	0	L_GX012840.MP4	229	GX012840.MP4	93	0.12735		-1.00000	3.04156	1.11222	-1104.66026	0.68980	0.67675	3.09580	3.40670	1104.66500	0.34979								sync		
080	0	L_GX013145.MP4	222	GX010108.MP4	92	0.12346		-1.00000	14.56888	-15.22876	-894.70714	0.56734	0.55274	2.14450	1.34324	894.95532	1.18000								sync		
081	0	L_GX012841.MP4	576	GX013209.MP4	452	0.32032		-1.00000	26.83490	-9.07859	-889.57474	0.56274	0.54737	2.36882	1.82438	890.02570	1.77526								sync		
082	0	L_GX010106.MP4	206	GX010107.MP4	84	0.11456		-1.00000	17.25661	7.08277	-986.85231	0.62022	0.60548	2.49804	1.84035	987.02859	1.08797								sync		
083	0	GX010109.MP4	70	L_GX013085.MP4	234	0.03893		-1.00000	4.05849	5.13665	-929.23021	0.58798	0.57316	2.23096	4.27102	929.25327	0.25096								sync		
084	0	L_GX012840.MP4	637	GX010108.MP4	365	0.35424		-1.00000																	sync		
085	0	L_GX012841.MP4	1393	GX010109.MP4	1203	0.77466		-1.00000	74.24781	-22.80618	-859.76808	0.56208	0.53273	1.98045	0.87656	863.26937	5.14331								sync		
087	0	L_GX010107.MP4	101	GX010108.MP4	210	0.05617		-1.00000	26.52766	2.07442	-868.10607	0.55199	0.53471	1.95206	2.39620	868.51377	1.75672								sync		
088	0	L_GX012842.MP4	183	GX013210.MP4	362	0.10177		-1.00000	1.44751	-8.71587	-878.48489	0.55292	0.54053	2.31028	0.06748	878.52932	0.40286								sync		
089	0	L_GX013146.MP4	382	GX010109.MP4	138	0.21243		-1.00000	25.23415	-18.85391	-844.23329	0.53937	0.52325	1.91814	3.16798	844.82074	1.99603								sync		
090	0	L_GX012841.MP4	2301	GX012841.MP4	2081	1.27961		-1.00000																	sync		
091	0	L_GX012842.MP4	193	GX012842.MP4	77	0.10733		-1.00000	-4.04981	-11.16902	-1032.05266	0.64720	0.63463	2.71353	2.02921	1032.12104	0.42913								sync		
092	0	L_GX013147.MP4	198	GX010110.MP4	72	0.11011		-1.00000	27.26085	-13.46393	-889.41295	0.56604	0.54912	2.11926	4.13038	889.93249	1.85995								sync		
093	0	L_GX012843.MP4	214	GX013211.MP4	88	0.11901		-1.00000	20.56965	-8.37173	-819.91417	0.52060	0.50582	2.02480	2.69812	820.21488	1.49388								sync		
094	0	L_GX012839.MP4	245	GX010109.MP4	101	0.13625		-1.00000	24.93331	-6.06589	-645.86825	0.42215	0.40305	1.11238	0.38541	646.37780	2.27210								sync		
095	0	L_GX013087.MP4	696	GX012839.MP4	113	0.38705		-1.00000	-0.67842	-4.57378	-737.22215	0.47611	0.45874	1.43302	1.52885	737.23665	0.65536								SYNC		
096	0	L_GX012842.MP4	498	GX010110.MP4	342	0.27694		-1.00000	47.38996	-23.38537	-970.01197	0.61682	0.59826	2.49124	0.66404	971.45042	3.09005								sync		
097	0	L_GX012843.MP4	427	GX010111.MP4	96	0.23746		-1.00000	70.57404	-25.51745	-898.79882	0.58416	0.55664	2.15552	0.81008	901.92636	4.75107								sync		
098	0	L_GX013088.MP4	387	GX012840.MP4	253	0.21522		-1.00000	-13.44614	-8.99553	-838.87093	0.53565	0.51951	1.83481	1.92257	839.02691	1.29427								sync		
099	0	L_GX012840.MP4	268	GX010110.MP4	153	0.14904		-1.00000	25.48772	4.85598	-1009.90006	0.63517	0.61912	2.61267	3.95842	1010.23331	1.47424								sync		
100	0	L_GX012844.MP4	262	GX013212.MP4	80	0.14570		-1.00000	16.42754	-8.99351	-944.80836	0.59296	0.58014	2.65955	0.29100	944.99396	1.06207								sync		
101	0	L_GX013148.MP4	228	GX010111.MP4	72	0.12679		-1.00000	22.99725	-14.39435	-923.92187	0.58542	0.56987	2.28012	0.13829	924.32013	1.56280								sync		
102	0	L_GX012843.MP4	4232	GX012843.MP4	4035	2.35346		-1.00000	15.19756	-9.21430	-715.92903	0.46308	0.44558	1.34486	2.46652	716.14960	1.30833								sync		
103	0	L_GX012844.MP4	1480	GX012844.MP4	1301	0.82304		-1.00000	15.46174	-12.11104	-774.51400	0.49714	0.48075	1.56188	2.85170	774.76298	1.31106								sync		
104	0	L_GX013149.MP4	1589	GX010112.MP4	2183	0.88366		-1.00000	24.88745	-13.89693	-755.32165	0.48776	0.46956	1.55208	3.26908	755.85931	2.05006								sync		
105	0	L_GX012845.MP4	270	GX013213.MP4	114	0.15015		-1.00000	16.00297	-5.59242	-947.05145	0.59420	0.58102	2.67178	0.75875	947.20315	0.98144								sync		
106	0	L_GX012841.MP4	321	GX010111.MP4	175	0.17851		-1.00000	25.01622	5.07528	-937.02847	0.59219	0.57577	2.26089	1.59470	937.37609	1.56311								sync		
107	0	L_GX013089.MP4	256	GX012841.MP4	166	0.14236		-1.00000																	sync		
108	0	L_GX012844.MP4	228	GX010112.MP4	106	0.12679		-1.00000	74.10219	-26.07944	-1008.33464	0.65347	0.62247	2.69047	0.29958	1011.39014	4.43357								sync		
