OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
095	1	L_GX013087.MP4	46934	GX012839.MP4	46351	26.10052	B	8.11144	466.59599	4.54580	9.57447	1715.77299	30.03410	10.43539	7.17538	-718.65364	470.13171	-1485.39222	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	478 mm ~		Y
098	1	L_GX013088.MP4	5272	GX012840.MP4	5138	2.93182	A	0.99155	624.65175	15.59156	8.24260	3031.76785	34.67574	20.25251	10.75192	-1588.97570	671.06256	-2493.28049	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
099	1	L_GX012840.MP4	28027	GX010110.MP4	27912	15.58613	A	13.22099	653.83802	64.09396	5.15538	4835.12921	29.30844	80.67639	11.12959	1593.92036	1749.68285	-4216.21895	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
100	1	L_GX012844.MP4	4677	GX013212.MP4	4495	2.60093	A	0.51718	443.16441	12.55794	6.75653	2438.48901	30.66144	29.10954	10.06053	-1243.42431	17.11127	-2097.57761	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	430		Y
100	2	L_GX012844.MP4	6631	GX013212.MP4	6449	3.68757	A	1.60382	753.07346	30.17049	5.07328	4769.93596	23.74648	13.06020	8.87823	-1367.99774	1348.36391	-4366.09506	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			
101	1	L_GX013148.MP4	39608	GX010111.MP4	39452	22.02645	B	5.18852	735.13239	9.66315	0.55692	2570.16245	24.69829	80.47622	63.39608	1052.32481	214.26362	-2335.04575	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			
101	2	L_GX013148.MP4	101970	GX010111.MP4	101814	56.70665	D	9.86764	567.77388	9.84518	6.58695	2142.58404	15.15483	57.93553	46.80725	157.41360	537.55851	-2068.07113	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
103	1	L_GX012844.MP4	109803	GX012844.MP4	109624	61.06267	C	8.90779	443.65615	15.78088	2.66652	2716.28267	29.00441	40.89980	10.97844	-1229.11197	473.22065	-2375.61308	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
105	0	L_GX012845.MP4	6072	GX013213.MP4	5916	3.37671	A	0.42932	313.33001	14.31434	2.32228	2868.87732	20.38388	23.00484	23.11585	-969.32816	-242.71581	-2689.22834	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			N
105	1	L_GX012845.MP4	6143	GX013213.MP4	5987	3.41619	A	0.46880	387.10140	5.48690	1.11558	3344.58713	6.59173	0.75655	14.20796	-307.28415	-230.18425	-3322.47720	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			N
105	2	L_GX012845.MP4	6915	GX013213.MP4	6759	3.84551	A	0.89812	379.62501	15.71672	0.91218	3127.85258	9.33018	22.01571	9.97744	-499.07755	89.83589	-3086.47256	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
105	3	L_GX012845.MP4	7165	GX013213.MP4	7009	3.98454	A	1.03715	470.27691	30.37744	1.79356	4070.08056	32.23698	9.88435	17.81239	2165.70874	152.51034	-3442.67368	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
105	4	L_GX012845.MP4	9367	GX013213.MP4	9211	5.20909	A	2.26170	830.05674	26.05141	0.32545	4552.91713	12.54561	16.61739	3.23082	504.74478	850.46685	-4444.20895	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
105	5	L_GX012845.MP4	9581	GX013213.MP4	9425	5.32810	A	2.38071	496.22724	6.08328	0.77800	2186.01492	18.21983	9.01965	26.45606	-674.03054	113.30525	-2076.41662	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
105	6	L_GX012845.MP4	9581	GX013213.MP4	9425	5.32810	A	2.38071	504.53471	16.26232	1.86006	3275.49939	5.13358	25.88174	33.36261	26.42170	291.89165	-3262.36071	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
108	1	L_GX012844.MP4	96001	GX010112.MP4	95879	53.38722	D	2.92403	305.67044	8.05165	0.96679	2280.33076	32.95678	7.06864	8.34710	-1220.78254	220.37482	-1913.38268	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
108	2	L_GX012844.MP4	96212	GX010112.MP4	96090	53.50456	D	3.04137	324.01713	14.22261	4.99164	3900.94738	16.96414	8.04562	2.94349	-890.38770	709.00626	-3731.20763	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
