sample_url,family,genus,species,count,sample,longitude_dd,latitude_dd,date_time,depth_m,status,site,location,annotation_parameters,successful_count,successful_length,successful_habitat_downward,successful_habitat_forward,successful_habitat_backward,successful_habitat_panoramic,map_marker_colour_rgb,campaignid,observer_count,observer_length,observer_habitat_downward,observer_habitat_forward,observer_habitat_backward,observer_habitat_panoramic,synthesis,derived_from_sample
https://dev.globalarchive.org/api/data/SynthesisSample/690967/?format=feather,Labridae,Achoerodus,gouldii,1,12528,123.17643,-34.01633,2002-12-31T16:00:00Z,26,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690969/?format=feather,Labridae,Achoerodus,gouldii,1,12540,122.62601,-33.98592,2002-12-31T16:00:00Z,7,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690971/?format=feather,Labridae,Achoerodus,gouldii,2,12542,122.65369,-34.00318,2002-12-31T16:00:00Z,8,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690972/?format=feather,Labridae,Achoerodus,gouldii,2,12543,122.6661,-33.98888,2002-12-31T16:00:00Z,26,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690975/?format=feather,Labridae,Achoerodus,gouldii,1,12546,122.57934,-34.00998,2002-12-31T16:00:00Z,36,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690976/?format=feather,Labridae,Achoerodus,gouldii,1,12547,122.57674,-34.01065,2002-12-31T16:00:00Z,12,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690980/?format=feather,Labridae,Achoerodus,gouldii,1,12552,122.57241,-34.01324,2002-12-31T16:00:00Z,38,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690981/?format=feather,Labridae,Achoerodus,gouldii,1,12554,122.59748,-33.93294,2002-12-31T16:00:00Z,18,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690989/?format=feather,Labridae,Achoerodus,gouldii,1,2045,122.63693,-33.98553,2002-12-31T16:00:00Z,27,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690990/?format=feather,Labridae,Achoerodus,gouldii,1,2057,122.63702,-34.00262,2002-12-31T16:00:00Z,33,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690991/?format=feather,Labridae,Achoerodus,gouldii,1,2058,122.63957,-34.00008,2002-12-31T16:00:00Z,0,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690994/?format=feather,Labridae,Achoerodus,gouldii,1,2239,122.64598,-33.98847,2002-12-31T16:00:00Z,17,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690995/?format=feather,Labridae,Achoerodus,gouldii,1,2251,122.65213,-33.99557,2002-12-31T16:00:00Z,8,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/690999/?format=feather,Labridae,Achoerodus,gouldii,1,2260,122.66118,-33.99075,2002-12-31T16:00:00Z,27,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691000/?format=feather,Labridae,Achoerodus,gouldii,1,2262,122.65875,-33.99202,2002-12-31T16:00:00Z,24,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691008/?format=feather,Labridae,Achoerodus,gouldii,1,2492,122.5874,-33.93133,2002-12-31T16:00:00Z,4,Fished,NA,Duke,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691014/?format=feather,Labridae,Achoerodus,gouldii,1,2634,123.2368,-34.02738,2002-12-31T16:00:00Z,19,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691038/?format=feather,Labridae,Achoerodus,gouldii,1,4224,123.1097,-34.09427,2002-12-31T16:00:00Z,31,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691039/?format=feather,Labridae,Achoerodus,gouldii,1,4285,123.21735,-34.07858,2002-12-31T16:00:00Z,22,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691045/?format=feather,Labridae,Achoerodus,gouldii,1,4336,123.20703,-34.0199,2002-12-31T16:00:00Z,25,Fished,NA,Arid,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691079/?format=feather,Labridae,Achoerodus,gouldii,1,7126,122.0195,-33.99732,2002-12-31T16:00:00Z,37,Fished,NA,Esperance,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/691085/?format=feather,Labridae,Achoerodus,gouldii,1,78,121.90693,-33.92732,2002-12-31T16:00:00Z,40,Fished,NA,Esperance,NA,TRUE,FALSE,NA,NA,NA,NA,#f63365,2003-00_Esperance.FRDC-stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/692786/?format=feather,Labridae,Achoerodus,gouldii,1,6CNB7-5,114.9988,-33.5523,2006-02-28T16:00:00Z,30,Fished,Cape.Naturaliste,Cape.Naturaliste,NA,TRUE,TRUE,NA,NA,NA,NA,#515b66,2006-03_Capes.sanctuaries_stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/692807/?format=feather,Labridae,Achoerodus,gouldii,1,6INB6-1,114.9604,-33.7109,2006-02-28T16:00:00Z,30,Fished,Indijup.Point,Indijup.Point,NA,TRUE,TRUE,NA,NA,NA,NA,#515b66,2006-03_Capes.sanctuaries_stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
https://dev.globalarchive.org/api/data/SynthesisSample/692811/?format=feather,Labridae,Achoerodus,gouldii,1,6INB6-5,114.9628,-33.7118,2006-02-28T16:00:00Z,30,Fished,Indijup.Point,Indijup.Point,NA,TRUE,TRUE,NA,NA,NA,NA,#515b66,2006-03_Capes.sanctuaries_stereoBRUVs,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,https://dev.globalarchive.org/api/data/Annotator/110/?format=feather,NA,NA,NA,NA,https://dev.globalarchive.org/api/data/Synthesis/18/?format=feather,NA
